doubling every two days;doubling every 4 days;doubling every 10 days;India;Germany;US;Bangladesh;Korea, South;date
100.0;100.0;100.0;102.0;130.0;104.0;123.0;104.0;0
141.4213562373095;118.9207115002721;107.17734625362931;113.0;159.0;174.0;164.0;204.0;1
200.0;141.4213562373095;114.86983549970351;119.0;196.0;222.0;218.0;433.0;2
282.842712474619;168.1792830507429;123.11444133449163;142.0;262.0;337.0;330.0;602.0;3
400.0;200.0;131.9507910772894;156.0;482.0;451.0;424.0;833.0;4
565.685424949238;237.8414230005442;141.4213562373095;194.0;670.0;519.0;482.0;977.0;5
800.0;282.842712474619;151.5716566510398;244.0;799.0;711.0;621.0;1261.0;6
1131.370849898476;336.3585661014858;162.4504792712471;330.0;1040.0;1109.0;803.0;1766.0;7
1600.0;400.0;174.11011265922482;396.0;1176.0;1561.0;1012.0;2337.0;8
2262.741699796952;475.6828460010884;186.60659830736148;499.0;1457.0;2157.0;1231.0;3150.0;9
3200.0;565.685424949238;200.0;536.0;1908.0;2870.0;1572.0;3736.0;10
4525.483399593904;672.7171322029716;214.35469250725862;657.0;2078.0;2968.0;1838.0;4335.0;11
6400.0;800.0;229.73967099940697;727.0;3675.0;4360.0;2144.0;5186.0;12
9050.966799187809;951.3656920021768;246.22888266898326;887.0;4585.0;6141.0;2456.0;5621.0;13
12800.0;1131.370849898476;263.9015821545788;987.0;5795.0;8917.0;2948.0;6088.0;14
18101.933598375617;1345.4342644059432;282.842712474619;1024.0;7272.0;14157.0;3382.0;6593.0;15
25600.0;1600.0;303.14331330207966;1251.0;9257.0;19479.0;3772.0;7041.0;16
36203.867196751235;1902.7313840043537;324.9009585424942;1397.0;12327.0;25825.0;4186.0;7314.0;17
51200.0;2262.741699796952;348.22022531844965;1998.0;15320.0;33761.0;4689.0;7478.0;18
72407.73439350247;2690.8685288118863;373.21319661472296;2543.0;19848.0;43850.0;4998.0;7513.0;19
;;;2567.0;22213.0;54112.0;5416.0;7755.0;20
;;;3082.0;24873.0;66055.0;5913.0;7869.0;21
;;;3588.0;29056.0;84091.0;6462.0;7979.0;22
;;;4778.0;32986.0;102276.0;7103.0;8086.0;23
;;;5311.0;37323.0;122069.0;7667.0;8162.0;24
;;;5916.0;43938.0;141205.0;8238.0;8236.0;25
;;;6725.0;50871.0;162707.0;8790.0;8320.0;26
;;;7598.0;57695.0;188724.0;9455.0;8413.0;27
;;;8446.0;62095.0;214205.0;10143.0;8565.0;28
;;;9205.0;66885.0;244610.0;10929.0;8652.0;29
;;;10453.0;71808.0;276547.0;11719.0;8799.0;30
;;;11487.0;77872.0;309699.0;12425.0;8961.0;31
;;;12322.0;84794.0;337573.0;13134.0;8961.0;32
;;;13430.0;91159.0;367215.0;13770.0;9037.0;33
;;;14352.0;96092.0;397992.0;14657.0;9137.0;34
;;;15722.0;100123.0;429686.0;15691.0;9241.0;35
;;;17615.0;103374.0;464442.0;16660.0;9332.0;36
;;;18539.0;107663.0;497943.0;17822.0;9478.0;37
;;;20080.0;113296.0;527969.0;18863.0;9583.0;38
;;;21370.0;118181.0;556522.0;20065.0;9661.0;39
;;;23077.0;122171.0;581813.0;20995.0;9786.0;40
;;;24530.0;124908.0;608878.0;22268.0;9887.0;41
;;;26283.0;127854.0;637974.0;23870.0;9976.0;42
;;;27890.0;130072.0;669272.0;25121.0;10062.0;43
;;;29451.0;131359.0;701996.0;26738.0;10156.0;44
;;;31324.0;134753.0;730337.0;28511.0;10237.0;45
;;;33062.0;137698.0;756375.0;30205.0;10284.0;46
;;;34863.0;141397.0;783716.0;32078.0;10331.0;47
;;;37257.0;143342.0;809318.0;33610.0;10384.0;48
;;;39699.0;145184.0;837422.0;35585.0;10423.0;49
;;;42505.0;147065.0;871617.0;36751.0;10450.0;50
;;;46437.0;148291.0;907908.0;38292.0;10480.0;51
;;;49400.0;150648.0;940829.0;40321.0;10512.0;52
;;;52987.0;153129.0;968518.0;42844.0;10537.0;53
