;AGS_TXT;Aktualisierung;Death;Fallzahl;GlobalID;LAN_ew_AGS;LAN_ew_BEZ;LAN_ew_EWZ;LAN_ew_GEN;OBJECTID;OBJECTID_1;Shape__Area;Shape__Length;faelle_100000_EW
0;01;1598133600000;160;3902;fc5ba936-c95c-432c-8a33-9eb2f30b660f;01;Land;2896712;Schleswig-Holstein;15;1;45737314116.8701;2881496.1295035;134.70445111561
1;02;1598133600000;265;6019;0f3e860c-5181-4d3f-a421-1d51f50315ea;02;Freie und Hansestadt;1841179;Hamburg;6;2;2089396054.82129;418800.187474072;326.910094021277
2;03;1598133600000;659;16055;3fd77024-c29b-4843-9be8-682ad48e60c9;03;Land;7982448;Niedersachsen;9;3;129983613598.973;4008988.2951652;201.128776535719
3;04;1598133600000;56;1900;4132268b-54de-4327-ac1e-760e915112f1;04;Freie Hansestadt;682986;Bremen;5;4;1119156745.43408;335717.737774516;278.190182522043
4;05;1598133600000;1798;56784;561d658f-3ee5-46e3-bc95-3528c6558ab9;05;Land;17932651;Nordrhein-Westfalen;10;5;87829361998.0295;2648672.50917441;316.651453262543
5;06;1598133600000;528;14587;93277ac4-e8fc-48c7-8940-028dc2ed66af;06;Land;6265809;Hessen;7;6;52359125900.6655;2148243.6201819;232.803138429531
6;07;1598133600000;242;8615;e9b4296f-9be2-4e53-9a58-ccf1396cb03d;07;Land;4084844;Rheinland-Pfalz;11;7;47838767393.1633;1774430.12830596;210.901566865222
7;08;1598133600000;1863;40031;80394ddf-c6a4-4a6e-be8e-0259a81b22a9;08;Land;11069533;Baden-Württemberg;1;8;81517323536.8628;2544320.39805124;361.632238686131
8;09;1598133600000;2633;54858;1ff920f4-62cd-4a4f-b8c9-f042f2a3e00a;09;Freistaat;13076721;Bayern;2;9;163485540875.077;3898617.90542911;419.508835586536
9;10;1598133600000;174;3071;e3396a6f-8a30-4fdf-8df7-def77dd38bea;10;Land;990509;Saarland;12;10;6060691818.01318;562678.876124348;310.042614453781
10;11;1598133600000;226;10717;c7033073-2bb0-486b-97af-5b3c639e7219;11;Land;3644826;Berlin;3;11;2402458320.59863;363979.182407356;294.033240544267
11;12;1598133600000;169;3787;b560af89-5895-4be4-96f8-0f581cd8a858;12;Land;2511917;Brandenburg;4;12;79801970800.2686;2571385.42188057;150.76135079304
12;13;1598133600000;20;992;a27f5628-e790-45be-898d-f0a6841c0f7e;13;Land;1609675;Mecklenburg-Vorpommern;8;13;65873523064.0757;4131181.10875485;61.6273471352913
13;14;1598133600000;225;5820;256d2405-a7c8-4fec-93df-29f3c808cd25;14;Freistaat;4077937;Sachsen;13;14;46626497892.9951;2048279.98573376;142.719222979659
14;15;1598133600000;65;2179;66106bbe-f04b-4f92-80e1-5b5b30da25b5;15;Land;2208321;Sachsen-Anhalt;14;15;54177007537.6553;1920386.52842308;98.6722491884106
15;16;1598133600000;186;3547;3a3e2817-bb19-4f8c-8bca-d8ff591140d4;16;Freistaat;2143145;Thüringen;16;16;40685205073.9761;2015719.49965031;165.504433904379
