countryOrRegion;county;isoCode;lat;location;long;newDeaths;newlyConfirmedCases;newlyRecoveredCases;provinceOrState;totalConfirmedCases;totalRecoveredCases
United States;;;13.444304;{u'totalRecoveredCases': 0, u'newlyConfirmedCases': 0, u'long': 144.793731, u'totalConfirmedCases': 32, u'county': None, u'location': {...}, u'newDeaths': 0, u'lat': 13.444304, u'countryOrRegion': u'United States', u'isoCode': None, u'provinceOrState': u'Guam', u'newlyRecoveredCases': 0};144.793731;0;0;0;Guam;32;0
United States;;;18.220833;{u'totalRecoveredCases': 391, u'newlyConfirmedCases': 0, u'long': -66.590149, u'totalConfirmedCases': 30971, u'county': None, u'location': {...}, u'newDeaths': 0, u'lat': 18.220833, u'countryOrRegion': u'United States', u'isoCode': None, u'provinceOrState': u'Puerto Rico', u'newlyRecoveredCases': 0};-66.590149;0;0;0;Puerto Rico;30971;391
United States;;;18.335765;{u'totalRecoveredCases': 0, u'newlyConfirmedCases': 0, u'long': -64.896335, u'totalConfirmedCases': 17, u'county': None, u'location': {...}, u'newDeaths': 0, u'lat': 18.335765, u'countryOrRegion': u'United States', u'isoCode': None, u'provinceOrState': u'U.S. Virgin Islands', u'newlyRecoveredCases': 0};-64.896335;0;0;0;U.S. Virgin Islands;17;0
United States;;US-AL;32.318231;{u'totalRecoveredCases': 41523, u'newlyConfirmedCases': 0, u'long': -86.902298, u'totalConfirmedCases': 119504, u'county': None, u'location': {...}, u'newDeaths': 0, u'lat': 32.318231, u'countryOrRegion': u'United States', u'isoCode': u'US-AL', u'provinceOrState': u'Alabama', u'newlyRecoveredCases': 0};-86.902298;0;0;0;Alabama;119504;41523
United States;;US-AK;63.588753;{u'totalRecoveredCases': 1192, u'newlyConfirmedCases': 0, u'long': -154.493062, u'totalConfirmedCases': 5545, u'county': None, u'location': {...}, u'newDeaths': 0, u'lat': 63.588753, u'countryOrRegion': u'United States', u'isoCode': u'US-AK', u'provinceOrState': u'Alaska', u'newlyRecoveredCases': 0};-154.493062;0;0;0;Alaska;5545;1192
United States;;US-AZ;34.048928;{u'totalRecoveredCases': 27029, u'newlyConfirmedCases': 0, u'long': -111.093731, u'totalConfirmedCases': 197911, u'county': None, u'location': {...}, u'newDeaths': 1, u'lat': 34.048928, u'countryOrRegion': u'United States', u'isoCode': u'US-AZ', u'provinceOrState': u'Arizona', u'newlyRecoveredCases': 0};-111.093731;1;0;0;Arizona;197911;27029
United States;;US-AR;35.20105;{u'totalRecoveredCases': 45446, u'newlyConfirmedCases': 0, u'long': -91.831833, u'totalConfirmedCases': 57222, u'county': None, u'location': {...}, u'newDeaths': 0, u'lat': 35.20105, u'countryOrRegion': u'United States', u'isoCode': u'US-AR', u'provinceOrState': u'Arkansas', u'newlyRecoveredCases': 0};-91.831833;0;0;0;Arkansas;57222;45446
United States;;US-CA;36.778261;{u'totalRecoveredCases': 247019, u'newlyConfirmedCases': 8, u'long': -119.417932, u'totalConfirmedCases': 667005, u'county': None, u'location': {...}, u'newDeaths': 1, u'lat': 36.778261, u'countryOrRegion': u'United States', u'isoCode': u'US-CA', u'provinceOrState': u'California', u'newlyRecoveredCases': 0};-119.417932;1;8;0;California;667005;247019
United States;;US-CO;39.550051;{u'totalRecoveredCases': 20090, u'newlyConfirmedCases': 0, u'long': -105.782067, u'totalConfirmedCases': 55071, u'county': None, u'location': {...}, u'newDeaths': 0, u'lat': 39.550051, u'countryOrRegion': u'United States', u'isoCode': u'US-CO', u'provinceOrState': u'Colorado', u'newlyRecoveredCases': 0};-105.782067;0;0;0;Colorado;55071;20090
United States;;US-CT;41.603221;{u'totalRecoveredCases': 30015, u'newlyConfirmedCases': 0, u'long': -73.087749, u'totalConfirmedCases': 51540, u'county': None, u'location': {...}, u'newDeaths': 0, u'lat': 41.603221, u'countryOrRegion': u'United States', u'isoCode': u'US-CT', u'provinceOrState': u'Connecticut', u'newlyRecoveredCases': 0};-73.087749;0;0;0;Connecticut;51540;30015
